committee_name,report_year,payee_name,payee_state,expenditure_description,expenditure_date,expenditure_amount,support_oppose_indicator,candidate_name,candidate_office,candidate_party
COMMUNICATIONS WORKERS OF AMERICA WORKING VOICES,2022,TEXAS TOOL BELT,TX,EXPENSES FOR DOOR TO DOOR CANVASSING,2022-01-07T00:00:00Z,997.12,S,"CISNEROS, JESSICA",H,DEM
TEXAS ORGANIZING PROJECT POLITICAL ACTION COMMITTEE,2022,ALAMO MAILING,TX,LITERATURE,2022-02-23T00:00:00Z,99.78,S,"CISNEROS, JESSICA",H,DEM
TEXAS ORGANIZING PROJECT POLITICAL ACTION COMMITTEE,2022,DUABLE BRAND TRUST,TX,GRAPHIC DESIGN (ESTIMATE),2022-02-01T00:00:00Z,1000,S,"CISNEROS, JESSICA",H,DEM
WOMEN VOTE!,2022,THE PIVOT GROUP,DC,MAIHOUSE,2022-05-12T00:00:00Z,9361.67,O,"CUELLAR, HENRY",H,DEM
WOMEN VOTE!,2022,TRILOGY INTERACTIVE LLC,CA,DIGITAL BUY,2022-04-29T00:00:00Z,54000,O,"CUELLAR, HENRY",H,DEM
MIJENTE PAC,2022,MIJENTE,AZ,NON-CONTRIBUTION ACCOUNT: STAFF TIME,2022-02-24T00:00:00Z,27082.76,S,"CISNEROS, JESSICA",H,DEM
CONGRESSIONAL LEADERSHIP FUND,2022,TARGETED VICTORY LLC,VA,DIGITAL PLACEMENT,2022-05-26T00:00:00Z,25000,S,"FLORES, MAYRA",H,NA
AFL-CIO COMMITTEE ON POLITICAL EDUCATION TREASURY FUND,2022,MIDDLE SEAT,DC,NA,2022-05-09T00:00:00Z,7819.75,S,"CISNEROS, JESSICA",H,DEM
SEIU COPE (SERVICE EMPLOYEES INTERNATIONAL UNION COMMITTEE ON POLITICAL EDUCATION),2022,TEXAS TOOLBELT,TX,ESTIMATED COST - CANVASSING SERVICES,2022-02-16T00:00:00Z,60000,S,"CISNEROS, JESSICA",H,DEM
BIENVENIDO ACTION PAC,2022,VISTAPRINT,MA,PRINTING EXPENSE: DOORHANGERS,2022-05-23T00:00:00Z,530.33,S,"FLORES, MAYRA",H,REP
"AMERICANS FOR PROSPERITY ACTION, INC. (AFP ACTION) DBA CVA ACTION AND DBA LIBRE ACTION",2022,TARGETED VICTORY LLC,VA,MEDIA PRODUCTION LIBRE ACTION,2022-08-15T00:00:00Z,1000,S,"DE LA CRUZ, MONICA",H,REP
WOMEN VOTE!,2022,THE PIVOT GROUP,DC,MAIHOUSE,2022-05-12T00:00:00Z,8907.22,S,"CISNEROS, JESSICA",H,DEM
AMERICA UNITED,2022,MOSAIC MEDIA STRATEGY GROUP,DC,AD BUY- TV,2022-05-19T00:00:00Z,56340,S,"CUELLAR, HENRY",H,DEM
COMMUNICATIONS WORKERS OF AMERICA WORKING VOICES,2022,TEXAS TOOL BELT,TX,EXPENSES FOR DOOR TO DOOR CANVASSING,2022-01-07T00:00:00Z,999.61,S,"CISNEROS, JESSICA",H,DEM
MIJENTE PAC,2022,PROTRAVEL INTERNATIONAL,AZ,NON-CONTRIBUTION ACCOUNT: TRAVEL,2022-02-24T00:00:00Z,37,S,"CISNEROS, JESSICA",H,DEM
UNITED DEMOCRACY PROJECT (UDP),2022,MVAR MEDIA LLC,VA,MEDIA PRODUCTION/PLACEMENT,2022-04-27T00:00:00Z,49723.31,O,"CISNEROS, JESSICA",H,NA
"AMERICANS FOR PROSPERITY ACTION, INC. (AFP ACTION) DBA CVA ACTION AND DBA LIBRE ACTION",2022,IN PURSUIT OF LLC,VA,DIGITAL AD PLACEMENT,2022-07-14T00:00:00Z,19000,S,"FLORES, MAYRA",H,REP
